year,match_number,team_a,goals_team_a,goals_team_b,team_b,score_diff,winner,matches_played_a,matches_won_a,podium_score_a,cups_won_a,matches_played_cum_a,matches_won_cum_a,podium_score_cum_a,matches_won_cum_percent_a,matches_played_b,matches_won_b,podium_score_b,cups_won_b,matches_played_cum_b,matches_won_cum_b,podium_score_cum_b,matches_won_cum_percent_b
2019,34,Cameroon,2,1,New Zealand,1,a,4,1,0,0,8,3,0,37.5,3,0,0,0,12,0,0,0.0
2019,10,New Zealand,0,1,Netherlands,-1,b,3,0,0,0,12,0,0,0.0,7,6,8,0,10,7,8,70.0
2019,52,USA,2,0,Netherlands,2,a,7,7,16,4,44,40,84,90.9090909090909,7,6,8,0,10,7,8,70.0
2019,47,Italy,0,2,Netherlands,-2,b,5,3,0,0,11,6,0,54.54545454545454,7,6,8,0,10,7,8,70.0
2019,11,USA,13,0,Thailand,13,a,7,7,16,4,44,40,84,90.9090909090909,3,0,0,0,6,1,0,16.666666666666664
2019,24,Sweden,5,1,Thailand,4,a,7,5,4,0,35,23,20,65.71428571428571,3,0,0,0,6,1,0,16.666666666666664
2019,23,USA,3,0,Chile,3,a,7,7,16,4,44,40,84,90.9090909090909,3,1,0,0,3,1,0,33.33333333333333
2019,36,Thailand,0,2,Chile,-2,b,3,0,0,0,6,1,0,16.666666666666664,3,1,0,0,3,1,0,33.33333333333333
2019,25,Nigeria,0,1,France,-1,b,4,1,0,0,23,4,0,17.391304347826086,5,4,0,0,16,10,2,62.5
2019,27,South Africa,0,4,Germany,-4,b,3,0,0,0,3,0,0,0.0,5,4,0,2,39,30,44,76.92307692307693
2019,29,Jamaica,1,4,Australia,-3,b,3,0,0,0,3,0,0,0.0,3,2,0,0,20,7,0,35.0
2019,33,Netherlands,2,1,Canada,1,a,7,6,8,0,10,7,8,70.0,4,2,0,0,22,8,2,36.36363636363637
2019,42,Sweden,1,0,Canada,1,a,7,5,4,0,35,23,20,65.71428571428571,4,2,0,0,22,8,2,36.36363636363637
2019,44,Netherlands,2,1,Japan,1,a,7,6,8,0,10,7,8,70.0,3,1,0,1,29,14,24,48.275862068965516
